product_id,product_name,product_category,product_category_tree,image_urls,product_url
20,Que thử thai Allisa Pregnancy Test Kit,"Que thử thai, rụng trứng","Thiết bị, dụng cụ y tế>>Que thử thai, rụng trứng",https://cdn.tgdd.vn/Products/Images/11300/279060/que-thu-thai-nhanh-tai-nha-allisa-1-1.jpg***https://cdn.tgdd.vn/Products/Images/11300/279060/que-thu-thai-nhanh-tai-nha-allisa-3.jpg***https://cdn.tgdd.vn/Products/Images/11300/279060/que-thu-thai-nhanh-tai-nha-allisa-4.jpg***https://cdn.tgdd.vn/Products/Images/11300/279060/que-thu-thai-nhanh-tai-nha-allisa-5.jpg***https://cdn.tgdd.vn/Products/Images/11300/279060/que-thu-thai-nhanh-tai-nha-allisa-6.jpg,
21,Khẩu trang y tế Trí Đức 4 lớp màu trắng hộp 50 cái,Khẩu trang,"Thiết bị, dụng cụ y tế>>Khẩu trang",https://cdn.tgdd.vn/Products/Images/5872/283256/khau-trang-y-te-tri-duc-4-lop-trang-hop-50-cai-1.jpg***https://cdn.tgdd.vn/Products/Images/5872/283256/khau-trang-y-te-tri-duc-4-lop-trang-hop-50-cai-3.jpg***https://cdn.tgdd.vn/Products/Images/5872/283256/khau-trang-y-te-tri-duc-4-lop-trang-hop-50-cai-4.jpg***https://cdn.tgdd.vn/Products/Images/5872/283256/khau-trang-y-te-tri-duc-4-lop-trang-hop-50-cai-5.jpg***https://cdn.tgdd.vn/Products/Images/5872/283256/khau-trang-y-te-tri-duc-4-lop-trang-hop-50-cai-6.jpg***https://cdn.tgdd.vn/Products/Images/5872/283256/khau-trang-y-te-tri-duc-4-lop-trang-hop-50-cai-7.jpg***https://cdn.tgdd.vn/Products/Images/5872/283256/khau-trang-y-te-tri-duc-4-lop-trang-hop-50-cai-8.jpg,
22,Khẩu trang y tế Bísou 3D Mask màu trắng size M gói 20 cái,Khẩu trang,"Thiết bị, dụng cụ y tế>>Khẩu trang",https://cdn.tgdd.vn/Products/Images/5872/287713/khau-trang-y-te-bisou-3d-mask-mau-trang-size-m-1.jpg***https://cdn.tgdd.vn/Products/Images/5872/287713/khau-trang-y-te-bisou-3d-mask-mau-trang-size-m-2.jpg***https://cdn.tgdd.vn/Products/Images/5872/287713/khau-trang-y-te-bisou-3d-mask-mau-trang-size-m-3.jpg***https://cdn.tgdd.vn/Products/Images/5872/287713/khau-trang-y-te-bisou-3d-mask-mau-trang-size-m-4.jpg,
23,"Nước muối Safin sát khuẩn, súc miệng chai 500ml","Nước muối, dung dịch sát trùng","Thiết bị, dụng cụ y tế>>Nước muối, dung dịch sát trùng",https://cdn.tgdd.vn/Products/Images/3913/277022/nuoc-muoi-safin-500ml-1.jpg***https://cdn.tgdd.vn/Products/Images/3913/277022/nuoc-muoi-safin-500ml-2.jpg***https://cdn.tgdd.vn/Products/Images/3913/277022/nuoc-muoi-safin-500ml-3.jpg***https://cdn.tgdd.vn/Products/Images/3913/277022/nuoc-muoi-safin-500ml-4.jpg,
24,Găng tay y tế có bột Latex I'm Glove size M hộp 50 đôi,Găng tay y tế,"Thiết bị, dụng cụ y tế>>Bông gòn, băng gạc, găng tay>>Găng tay y tế",https://cdn.tgdd.vn/Products/Images/9919/316179/gang-tay-y-te-co-bot-latex-im-glove-size-m-hop-50-doi-1.jpg***https://cdn.tgdd.vn/Products/Images/9919/316179/gang-tay-y-te-co-bot-latex-im-glove-size-m-hop-50-doi-2.jpg***https://cdn.tgdd.vn/Products/Images/9919/316179/gang-tay-y-te-co-bot-latex-im-glove-size-m-hop-50-doi-3.jpg***https://cdn.tgdd.vn/Products/Images/9919/316179/gang-tay-y-te-co-bot-latex-im-glove-size-m-hop-50-doi-4.jpg***https://cdn.tgdd.vn/Products/Images/9919/316179/gang-tay-y-te-co-bot-latex-im-glove-size-m-hop-50-doi-05.jpg***https://cdn.tgdd.vn/Products/Images/9919/316179/gang-tay-y-te-co-bot-latex-im-glove-size-m-hop-50-doi-6.jpg***https://cdn.tgdd.vn/Products/Images/9919/316179/gang-tay-y-te-co-bot-latex-im-glove-size-m-hop-50-doi-7.jpg,
25,"Gạc răng miệng Dr. Papie 0+ giúp sạch lưỡi, nướu, răng hộp 30 gói","Băng, gạc y tế","Thiết bị, dụng cụ y tế>>Bông gòn, băng gạc, găng tay>>Băng, gạc y tế",https://cdn.tgdd.vn/Products/Images/8758/247024/gac-rang-mieng-drpapie-h-30-goi-mac-dinh-2.jpg***https://cdn.tgdd.vn/Products/Images/8758/247024/gac-rang-mieng-drpapie-h-30-goi-mac-dinh-4.jpg***https://cdn.tgdd.vn/Products/Images/8758/247024/gac-rang-mieng-drpapie-h-30-goi-mac-dinh-5.jpg***https://cdn.tgdd.vn/Products/Images/8758/247024/gac-rang-mieng-drpapie-h-30-goi-mac-dinh-6.jpg***https://cdn.tgdd.vn/Products/Images/8758/247024/gac-rang-mieng-drpapie-h-30-goi-mac-dinh-7.jpg***https://cdn.tgdd.vn/Products/Images/8758/247024/gac-rang-mieng-drpapie-h-30-goi-mac-dinh-8.jpg,
26,Băng cá nhân vải Urgo Durable (2 x 6cm) hộp 20 miếng,"Băng, gạc y tế","Thiết bị, dụng cụ y tế>>Bông gòn, băng gạc, găng tay>>Băng, gạc y tế",https://cdn.tgdd.vn/Products/Images/8758/191247/bang-ca-nhan-do-dinh-cao-urgo-durable-hop-20-mieng-mac-dinh-2.jpg***https://cdn.tgdd.vn/Products/Images/8758/191247/bang-ca-nhan-do-dinh-cao-urgo-durable-hop-20-mieng-mac-dinh-3.jpg***https://cdn.tgdd.vn/Products/Images/8758/191247/bang-ca-nhan-do-dinh-cao-urgo-durable-hop-20-mieng-mac-dinh-4.jpg***https://cdn.tgdd.vn/Products/Images/8758/191247/bang-ca-nhan-do-dinh-cao-urgo-durable-hop-20-mieng-mac-dinh-5.jpg***https://cdn.tgdd.vn/Products/Images/8758/191247/bang-ca-nhan-do-dinh-cao-urgo-durable-hop-20-mieng-mac-dinh-7.jpg***https://cdn.tgdd.vn/Products/Images/8758/191247/bang-ca-nhan-do-dinh-cao-urgo-durable-hop-20-mieng-mac-dinh-8.jpg***https://cdn.tgdd.vn/Products/Images/8758/191247/bang-ca-nhan-do-dinh-cao-urgo-durable-hop-20-mieng-mac-dinh-9.jpg,
27,Miếng dán hạ sốt Sakura cho bé (3 gói x 2 miếng),"Miếng dán giảm đau, hạ sốt","Thiết bị, dụng cụ y tế>>Miếng dán giảm đau, hạ sốt",https://cdn.tgdd.vn/Products/Images/12181/188545/mieng-dan-ha-sot-sakura-1.jpg***https://cdn.tgdd.vn/Products/Images/12181/188545/mieng-dan-ha-sot-sakura-2-1.jpg***https://cdn.tgdd.vn/Products/Images/12181/188545/mieng-dan-ha-sot-sakura-3-1.jpg***https://cdn.tgdd.vn/Products/Images/12181/188545/mieng-dan-ha-sot-sakura-4-1.jpg***https://cdn.tgdd.vn/Products/Images/12181/188545/mieng-dan-ha-sot-sakura-5.jpg***https://cdn.tgdd.vn/Products/Images/12181/188545/mieng-dan-ha-sot-sakura-6.jpg,
28,Khẩu trang y tế Winer 4 lớp màu trắng hộp 50 cái,Khẩu trang,"Thiết bị, dụng cụ y tế>>Khẩu trang",https://cdn.tgdd.vn/Products/Images/5872/318164/khau-trang-y-te-winer-4-lop-mau-trang-hop-50-cai-1.jpg***https://cdn.tgdd.vn/Products/Images/5872/318164/khau-trang-y-te-winer-4-lop-mau-trang-hop-50-cai-3.jpg***https://cdn.tgdd.vn/Products/Images/5872/318164/khau-trang-y-te-winer-4-lop-mau-trang-hop-50-cai-4.jpg***https://cdn.tgdd.vn/Products/Images/5872/318164/khau-trang-y-te-winer-4-lop-mau-trang-hop-50-cai-7.jpg***https://cdn.tgdd.vn/Products/Images/5872/318164/khau-trang-y-te-winer-4-lop-mau-trang-hop-50-cai-8.jpg,
29,Miếng dán hạ sốt ByeBye Fever trẻ sơ sinh (3 gói x 2 miếng),"Miếng dán giảm đau, hạ sốt","Thiết bị, dụng cụ y tế>>Miếng dán giảm đau, hạ sốt",https://cdn.tgdd.vn/Products/Images/12181/195408/mieng-dan-ha-sot-cho-tre-so-sinh-byebye-fever-for-2.jpg***https://cdn.tgdd.vn/Products/Images/12181/195408/mieng-dan-ha-sot-cho-tre-so-sinh-byebye-fever-for-4.jpg***https://cdn.tgdd.vn/Products/Images/12181/195408/mieng-dan-ha-sot-cho-tre-so-sinh-byebye-fever-for-5.jpg,
